Asset.ID,Time.to.break,Previous.bursts,index,AC,CI,DI,Other,PE,PVC,SI,Steel,NOT_PRESENT,PRESENT,Grassland,Rural,Urban,Alluvial,Brown_earths,Ground_water_gleys,Peats,Podzols,Regosols,Surface_water_gleys,Diameter,Length,Year
406595,16778,0,1077,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.584212205,0.005707249
406595,19495,1,1078,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.584212205,0.005707249
406640,17637,0,1079,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.369752817,-0.175928553
406640,17957,1,1080,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.369752817,-0.175928553
406728,26147,0,1081,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.836731436,-0.164515644,-0.90247176
406728,26795,1,1082,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.836731436,-0.164515644,-0.90247176
407146,28303,0,1083,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2.382792839,1.877909559,-0.720835958
407146,28758,1,1084,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2.382792839,1.877909559,-0.720835958
407173,11863,0,1085,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.788036588,-0.354658195,0.913886258
407173,11950,1,1086,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.788036588,-0.354658195,0.913886258
407174,19374,0,1087,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2.382792839,-0.585210026,-0.175928553
407174,22613,1,1088,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2.382792839,-0.585210026,-0.175928553
407201,11600,0,1089,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.226439398,-0.524193304,0.913886258
407201,12656,1,1090,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.226439398,-0.524193304,0.913886258
407205,15684,0,1091,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.836731436,0.340434538,0.187343051
407205,18080,1,1092,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.836731436,0.340434538,0.187343051
407209,11791,0,1093,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.226439398,-0.159821946,0.913886258
407209,12824,1,1094,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.226439398,-0.159821946,0.913886258
407211,18975,0,1095,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2.382792839,-0.110222392,0.005707249
407211,21552,1,1096,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2.382792839,-0.110222392,0.005707249
407214,11080,0,1097,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.226439398,-0.633140645,0.913886258
407214,11084,1,1098,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.226439398,-0.633140645,0.913886258
407631,9326,0,1099,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.27519152,0.695923295
407631,9877,1,1100,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.27519152,0.695923295
407691,37706,0,1101,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1.867439038,0.431142221,-1.810650769
407691,37732,1,1102,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1.867439038,0.431142221,-1.810650769
407703,19234,0,1103,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.442045951,-0.212255713
407703,19236,1,1104,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.442045951,-0.212255713
407709,10050,0,1105,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.708377254,0.841231937
